marka;model;paket;tamad
BMW;520i;SEDAN 1.6 (170) EXECUTIVE SPORT;520i SEDAN 1.6 (170) EXECUTIVE SPORT
BMW;520i;SEDAN 1.6 (170) EXECUTIVE LUXURY LINE;520i SEDAN 1.6 (170) EXECUTIVE LUXURY LINE
BMW;520i;SEDAN 1.6 (170) EXECUTIVE M SPORT;520i SEDAN 1.6 (170) EXECUTIVE M SPORT
BMW;520d;SEDAN 2.0 (190) PURE;520d SEDAN 2.0 (190) PURE
BMW;520d;SEDAN 2.0 (190) EXECUTIVE;520d SEDAN 2.0 (190) EXECUTIVE
BMW;520d;SEDAN 2.0 (190) EXECUTIVE PLUS;520d SEDAN 2.0 (190) EXECUTIVE PLUS
BMW;520d;SEDAN 2.0 (190) EXECUTIVE SPORT;520d SEDAN 2.0 (190) EXECUTIVE SPORT
BMW;520d;SEDAN 2.0 (190) EXECUTIVE LUXURY LINE;520d SEDAN 2.0 (190) EXECUTIVE LUXURY LINE
BMW;520d;SEDAN 2.0 (190) EXECUTIVE M SPORT;520d SEDAN 2.0 (190) EXECUTIVE M SPORT
BMW;525d;XDRIVE SEDAN 2.0 (218) PURE;525d XDRIVE SEDAN 2.0 (218) PURE
BMW;525D;XDRIVE SEDAN 2.0 (218) EXECUTIVE;525D XDRIVE SEDAN 2.0 (218) EXECUTIVE
BMW;525d;XDRIVE SEDAN 2.0 (218) EXECUTIVE PLUS;525d XDRIVE SEDAN 2.0 (218) EXECUTIVE PLUS
BMW;525d;XDRIVE SEDAN 2.0 (218) EXECUTIVE SPORT;525d XDRIVE SEDAN 2.0 (218) EXECUTIVE SPORT
BMW;525d;XDRIVESEDAN 2.0 218 EXECUTIVELUXURYLINE;525d XDRIVESEDAN 2.0 218 EXECUTIVELUXURYLINE
BMW;525d;XDRIVE SEDAN 2.0 (218) EXECUTIVE M SPORT;525d XDRIVE SEDAN 2.0 (218) EXECUTIVE M SPORT
BMW;535d;XDRIVE SEDAN 3.0 (313) PURE;535d XDRIVE SEDAN 3.0 (313) PURE
BMW;535d;XDRIVE SEDAN 3.0 (313) EXECUTIVE;535d XDRIVE SEDAN 3.0 (313) EXECUTIVE
BMW;535d;XDRIVE SEDAN 3.0 (313) LUXURY;535d XDRIVE SEDAN 3.0 (313) LUXURY
BMW;535d;XDRIVE SEDAN 3.0 (313) LUXURY M SPORT;535d XDRIVE SEDAN 3.0 (313) LUXURY M SPORT
BMW;520d;GRAN TOURISMO 2.0 (184) PURE;520d GRAN TOURISMO 2.0 (184) PURE
BMW;520d;GRAN TORISMO 2.0 (184) LUXURY LINE;520d GRAN TORISMO 2.0 (184) LUXURY LINE
BMW;520d;GRAN TORISMO 2.0 (184) M SPORT;520d GRAN TORISMO 2.0 (184) M SPORT
BMW;640d;XDRIVE COUPE 3.0 (313) PURE;640d XDRIVE COUPE 3.0 (313) PURE
BMW;640d;XDRIVE COUPE 3.0 (313) M SPORT;640d XDRIVE COUPE 3.0 (313) M SPORT
BMW;640d;XDRIVE COUPE 3.0 (313) PURE EXPRERIENCE;640d XDRIVE COUPE 3.0 (313) PURE EXPRERIENCE
BMW;640d;XDRIVE COUPE 3.0 (313) PURE EXCELLENCE;640d XDRIVE COUPE 3.0 (313) PURE EXCELLENCE
BMW;640d;XDRIVE CABRIO 3.0 (313) PURE;640d XDRIVE CABRIO 3.0 (313) PURE
BMW;640d;XDRIVE CABRIO 3.0 (313) M SPORT;640d XDRIVE CABRIO 3.0 (313) M SPORT
BMW;640d;XDRIVE CABRIO 3.0 (313) PURE EXPERIENCE;640d XDRIVE CABRIO 3.0 (313) PURE EXPERIENCE
BMW;640d;XDRIVE CABRIO 3.0 (313) EXCELLENCE;640d XDRIVE CABRIO 3.0 (313) EXCELLENCE
BMW;640d;XDRIVE GRAN COUPE 3.0 (313) PURE;640d XDRIVE GRAN COUPE 3.0 (313) PURE
BMW;640d;XDRIVE GRAN COUPE 3.0 (313) M SPORT;640d XDRIVE GRAN COUPE 3.0 (313) M SPORT
BMW;640d;XDRIVE GRANCOUPE 3.0 313 PURE EXPERIENCE;640d XDRIVE GRANCOUPE 3.0 313 PURE EXPERIENCE
BMW;640d;XDRIVE GRAN COUPE 3.0 313 PUREEXCELLENCE;640d XDRIVE GRAN COUPE 3.0 313 PUREEXCELLENCE
BMW;730i;2.0 (258) M SPORT;730i 2.0 (258) M SPORT
BMW;730i;2.0 (258) LUXURY;730i 2.0 (258) LUXURY
BMW;730i;2.0 (258) EXCLUSIVE;730i 2.0 (258) EXCLUSIVE
BMW;730d;XDRIVE 3.0 (265) M SPORT;730d XDRIVE 3.0 (265) M SPORT
BMW;730d;XDRIVE 3.0 (265) LUXURY;730d XDRIVE 3.0 (265) LUXURY
BMW;730d;XDRIVE 3.0 (265) EXCLUSIVE;730d XDRIVE 3.0 (265) EXCLUSIVE
BMW;740e;iPERFORMANCE 2.0 (326) M SPORT;740e iPERFORMANCE 2.0 (326) M SPORT
BMW;740e;iPERFORMANCE 2.0 (326) LUXURY;740e iPERFORMANCE 2.0 (326) LUXURY
BMW;740e;iPERFORMANCE 2.0 (326)  EXCLUSIVE;740e iPERFORMANCE 2.0 (326)  EXCLUSIVE
BMW;730Li;2.0 (258) PURE;730Li 2.0 (258) PURE
BMW;730Li;2.0 (258) PRESTIGE;730Li 2.0 (258) PRESTIGE
BMW;730Li;2.0 (258) LUXURY;730Li 2.0 (258) LUXURY
BMW;730Li;2.0 (258) EXECUTIVE LOUNGE;730Li 2.0 (258) EXECUTIVE LOUNGE
BMW;730Ld;XDRIVE 3.0 (265) PURE;730Ld XDRIVE 3.0 (265) PURE
BMW;730Ld;XDRIVE 3.0 (265) PRESTIGE;730Ld XDRIVE 3.0 (265) PRESTIGE
BMW;730Ld;XDRIVE 3.0 (265) LUXURY;730Ld XDRIVE 3.0 (265) LUXURY
BMW;730Ld;XDRIVE 3.0 (265) EXECUTIVE LOUNGE;730Ld XDRIVE 3.0 (265) EXECUTIVE LOUNGE
BMW;740LE;XDRIVE iPERFORMANCE 2.0 (326) PURE;740LE XDRIVE iPERFORMANCE 2.0 (326) PURE
BMW;740Le;XDRIVE iPERFORMANCE 2.0 (326) PRESTIGE;740Le XDRIVE iPERFORMANCE 2.0 (326) PRESTIGE
BMW;740Le;XDRIVE iPERFORMANCE 2.0 (326) LUXURY;740Le XDRIVE iPERFORMANCE 2.0 (326) LUXURY
BMW;740Le;XDRIVEiPERFOIRMANCE 2.0 326 EXE.LOUNGE;740Le XDRIVEiPERFOIRMANCE 2.0 326 EXE.LOUNGE
BMW;X1;SDRIVE 18i 1.5 (136) JOY;X1 SDRIVE 18i 1.5 (136) JOY
BMW;X1;SDRIVE18i 1.5 (136) PRESTIGE;X1 SDRIVE18i 1.5 (136) PRESTIGE
BMW;X1;SDRIVE18i 1.5 (136) SPORT LINE;X1 SDRIVE18i 1.5 (136) SPORT LINE
BMW;X1;SDRIVE18i 1.5 (136) X LINE;X1 SDRIVE18i 1.5 (136) X LINE
BMW;X1;SDRIVE18i 1.5 (136) M SPORT;X1 SDRIVE18i 1.5 (136) M SPORT
BMW;X1;SDRIVE16d 1.5 (116) JOY;X1 SDRIVE16d 1.5 (116) JOY
BMW;X1;SDRIVE16D 1.5 (116) PRESTIGE;X1 SDRIVE16D 1.5 (116) PRESTIGE
BMW;X1;SDRIVE16d 1.5 (116) SPORT LINE;X1 SDRIVE16d 1.5 (116) SPORT LINE
BMW;X1;SDRIVE16d 1.5 (116) X LINE;X1 SDRIVE16d 1.5 (116) X LINE
BMW;X1;SDRIVE16d 1.5 (116) M SPORT;X1 SDRIVE16d 1.5 (116) M SPORT
BMW;X1;XDRIVE20d 2.0 (190) JOY;X1 XDRIVE20d 2.0 (190) JOY
BMW;X1;XDRIVE20d 2.0 (190) PRESTIGE;X1 XDRIVE20d 2.0 (190) PRESTIGE
BMW;X1;XDRIVE20d 2.0 (190) SPORT LINE;X1 XDRIVE20d 2.0 (190) SPORT LINE
BMW;X1;XDRIVE20d 2.0 (190) X LINE;X1 XDRIVE20d 2.0 (190) X LINE
BMW;X1;XDRIVE20d 2.0 (190) M SPORT;X1 XDRIVE20d 2.0 (190) M SPORT
BMW;X3;SDRIVE20i 1.6 (170) JOY;X3 SDRIVE20i 1.6 (170) JOY
BMW;X3;SDRIVE20i 1.6 (170) PRESTIGE;X3 SDRIVE20i 1.6 (170) PRESTIGE
BMW;X3;SDRIVE20i 1.6 (170) X PLUS;X3 SDRIVE20i 1.6 (170) X PLUS
BMW;X3;SDRIVE20i 1.6 (170) M PLUS;X3 SDRIVE20i 1.6 (170) M PLUS
BMW;X3;XDRIVE20d 2.0 (190) JOY;X3 XDRIVE20d 2.0 (190) JOY
BMW;X3;XDRIVE20d 2.0 (190) PRESTIGE;X3 XDRIVE20d 2.0 (190) PRESTIGE
BMW;X3;XDRIVE20d 2.0 (190) X PLUS;X3 XDRIVE20d 2.0 (190) X PLUS
BMW;X3;XDRIVE20d 2.0 (190) M PLUS;X3 XDRIVE20d 2.0 (190) M PLUS
BMW;X4;XDRIVE20d 2.0 (190) JOY;X4 XDRIVE20d 2.0 (190) JOY
BMW;X4;XDRIVE20d 2.0 (190) EXLUSIVE;X4 XDRIVE20d 2.0 (190) EXLUSIVE
BMW;X4;XDRIVE20d 2.0 (190) X LINE;X4 XDRIVE20d 2.0 (190) X LINE
BMW;X4;XDRIVE20d 2.0 (190) M SPORT;X4 XDRIVE20d 2.0 (190) M SPORT
BMW;X5;XDRIVE25d 2.0 (231) PURE;X5 XDRIVE25d 2.0 (231) PURE
BMW;X5;XDRIVE25d 2.0 (231) PRESTIGE;X5 XDRIVE25d 2.0 (231) PRESTIGE
BMW;X5;XDRIVE25d 2.0 (231) PREMIUM;X5 XDRIVE25d 2.0 (231) PREMIUM
BMW;X5;XDRIVE25d 2.0 (231) M SPORT;X5 XDRIVE25d 2.0 (231) M SPORT
BMW;X5;XDRIVE40e iPERFORMANCE 2.0 (313) PURE;X5 XDRIVE40e iPERFORMANCE 2.0 (313) PURE
BMW;X5;XDRIVE40e iPERFORMANCE 2.0 (313) PRESTIGE;X5 XDRIVE40e iPERFORMANCE 2.0 (313) PRESTIGE
BMW;X5;XDRIVE40e iPERFORMANCE 2.0 (313) PREMIUM;X5 XDRIVE40e iPERFORMANCE 2.0 (313) PREMIUM
BMW;X6;XDRIVE40d 3.0 (313) PURE;X6 XDRIVE40d 3.0 (313) PURE
BMW;X6;XDRIVE40d 3.0 (313) PURE LUXURY;X6 XDRIVE40d 3.0 (313) PURE LUXURY
BMW;X6;XDRIVE40d 3.0 (313) M SPORT;X6 XDRIVE40d 3.0 (313) M SPORT
BMW;Z4;SDRIVE20i RADSTER 2.0 (184) JOY;Z4 SDRIVE20i RADSTER 2.0 (184) JOY
BMW;M2;COUPE 3.0 (370) PURE;M2 COUPE 3.0 (370) PURE
BMW;M3;SEDAN 3.0 (431) PURE;M3 SEDAN 3.0 (431) PURE
BMW;M3;SEDAN 3.0 (431) COMPETITION;M3 SEDAN 3.0 (431) COMPETITION
BMW;M4;COUPE 3.0 (431) PURE;M4 COUPE 3.0 (431) PURE
BMW;M4;COUPE 3.0 (431) COMPETITION;M4 COUPE 3.0 (431) COMPETITION
BMW;M4;CABRIO 3.0 (431) PURE;M4 CABRIO 3.0 (431) PURE
BMW;M4;CABRIO 3.0 (431) COMPETITION;M4 CABRIO 3.0 (431) COMPETITION
BMW;M5;SEDAN 4.4 (560) PURE;M5 SEDAN 4.4 (560) PURE
BMW;M6;COUPE 4.4 (560) PURE;M6 COUPE 4.4 (560) PURE
BMW;M6;CABRIO 4.4 (560) PURE;M6 CABRIO 4.4 (560) PURE
BMW;M6;GRAN COUPE 4.4 (560) PURE;M6 GRAN COUPE 4.4 (560) PURE
BMW;X5;M 4.4 (575) PURE;X5 M 4.4 (575) PURE
BMW;X6;M 4.4 (575) PURE;X6 M 4.4 (575) PURE
BMW;520i;SEDAN LUXURY M SPORT;520i SEDAN LUXURY M SPORT
BMW;320D;GRAN TURISMO 2.0 (190) JOY;320D GRAN TURISMO 2.0 (190) JOY
BMW;320d;GRAN TURISMO 2.0 (190) TECHNO PLUS;320d GRAN TURISMO 2.0 (190) TECHNO PLUS
BMW;320d;GRAN TURISMO 2.0 (190) SPORT LINE;320d GRAN TURISMO 2.0 (190) SPORT LINE
BMW;320d;GRAN TURISMO 2.0 (190) LUXURY LINE;320d GRAN TURISMO 2.0 (190) LUXURY LINE
BMW;320d;GRAN TURISMO 2.0 (190) M SPORT;320d GRAN TURISMO 2.0 (190) M SPORT
BMW;320d;XDRIVE GRAN TURISMO 2.0 (190) JOY;320d XDRIVE GRAN TURISMO 2.0 (190) JOY
BMW;320d;XDRIVE GRAN TURISMO 2.0 190 TECHNO PLUS;320d XDRIVE GRAN TURISMO 2.0 190 TECHNO PLUS
BMW;320d;XDRIVE GRAN TURISMO 2.0 (190) SPORT LINE;320d XDRIVE GRAN TURISMO 2.0 (190) SPORT LINE
BMW;320d;XDRIVE GRAN TURISMO 2.0 190 LUXURY LINE;320d XDRIVE GRAN TURISMO 2.0 190 LUXURY LINE
BMW;320d;XDRIVE GRAN TURISMO 2.0 (190) M SPORT;320d XDRIVE GRAN TURISMO 2.0 (190) M SPORT
BMW;420d;GRAN COUPE 2.0 (190) JOY;420d GRAN COUPE 2.0 (190) JOY
BMW;420d;GRAN COUPE 2.0 (190) SPORT LINE;420d GRAN COUPE 2.0 (190) SPORT LINE
BMW;420d;GRAN COUPE 2.0 (190) LUXURY LINE;420d GRAN COUPE 2.0 (190) LUXURY LINE
BMW;420d;GRAN COUPE 2.0 (190) M SPORT;420d GRAN COUPE 2.0 (190) M SPORT
BMW;M760Li;XDRIVE6.6 (609) PURE;M760Li XDRIVE6.6 (609) PURE
BMW;M760Li;XDRIVE6.6 (609) PRESTIGE;M760Li XDRIVE6.6 (609) PRESTIGE
BMW;M760Li; XDRIVE 6.6 (609) LUXURY;M760Li  XDRIVE 6.6 (609) LUXURY
BMW;M760Li;XDRIVE 6.6 (609) EXECUTIVE LOUNGE;M760Li XDRIVE 6.6 (609) EXECUTIVE LOUNGE
BMW;750Ld;XDRIVE 3.0 (400) PURE;750Ld XDRIVE 3.0 (400) PURE
BMW;750Ld;XDRIVE 3.0 (400) PRESTIGE;750Ld XDRIVE 3.0 (400) PRESTIGE
BMW;750Ld;XDRIVE 3.0 (400) LUXURY;750Ld XDRIVE 3.0 (400) LUXURY
BMW;750Ld;XDRIVE 3.0 (400) EXECUTIVE LOUNGE;750Ld XDRIVE 3.0 (400) EXECUTIVE LOUNGE
BMW;X3;SDRIVE 20i M SPORT;X3 SDRIVE 20i M SPORT
BMW;418i;COUPE 1.5 136 ULTIMATE M SPORT;418i COUPE 1.5 136 ULTIMATE M SPORT
BMW;420d;COUPE 2.0 190 ULTIMATE M SPORT;420d COUPE 2.0 190 ULTIMATE M SPORT
BMW;418i;GRAN COUPE 1.5 136 ULTIMATE M SPORT;418i GRAN COUPE 1.5 136 ULTIMATE M SPORT
BMW;420d;GRAN COUPE 2.0 190 ULTIMATE M SPORT;420d GRAN COUPE 2.0 190 ULTIMATE M SPORT
BMW;i3;PURE;i3 PURE
BMW;i3;PREMIUM TECHNO;i3 PREMIUM TECHNO
BMW;i8;PURE;i8 PURE
BMW;i8;PREMIUM TECHNO;i8 PREMIUM TECHNO
BMW;218d;ACTIVE TOURER M SPORT;218d ACTIVE TOURER M SPORT
BMW;318i;SEDAN 1.5 136 SPORT PLUS;318i SEDAN 1.5 136 SPORT PLUS
BMW;318i;SEDAN 1.5 136 M PLUS;318i SEDAN 1.5 136 M PLUS
BMW;318i;SEDAN 1.5 136 LUXURY PLUS;318i SEDAN 1.5 136 LUXURY PLUS
BMW;318i;SEDAN 1.5 136 40TH YEAR EDITION;318i SEDAN 1.5 136 40TH YEAR EDITION
BMW;318d;SEDAN 2.0 150 JOY;318d SEDAN 2.0 150 JOY
BMW;318d;SEDAN 2.0 150 SPORT PLUS;318d SEDAN 2.0 150 SPORT PLUS
BMW;318d;SEDAN 2.0 150 M PLUS;318d SEDAN 2.0 150 M PLUS
BMW;318d;SEDAN 2.0 150 LUXURY PLUS;318d SEDAN 2.0 150 LUXURY PLUS
BMW;318d;SEDAN 2.0 150 40TH YEAR EDITION;318d SEDAN 2.0 150 40TH YEAR EDITION
BMW;320d;SEDAN 2.0 190 SPORT PLUS;320d SEDAN 2.0 190 SPORT PLUS
BMW;320d;SEDAN 2.0 190 M PLUS;320d SEDAN 2.0 190 M PLUS
BMW;320d;SEDAN 2.0 190 LUXURY PLUS;320d SEDAN 2.0 190 LUXURY PLUS
BMW;320d;SEDAN 2.0 190 40TH YEAR EDITION;320d SEDAN 2.0 190 40TH YEAR EDITION
BMW;320d; XDRIVE SEDAN 2.0 190 SPORT PLUS;320d  XDRIVE SEDAN 2.0 190 SPORT PLUS
BMW;320d;XDRIVE SEDAN 2.0 190 M PLUS;320d XDRIVE SEDAN 2.0 190 M PLUS
BMW;320d;XDRIVE SEDAN 2.0 190 LUXURY PLUS;320d XDRIVE SEDAN 2.0 190 LUXURY PLUS
BMW;320d;XDRIVE GRAN TURISMO 2.0 190 PRESTIJE;320d XDRIVE GRAN TURISMO 2.0 190 PRESTIJE
BMW;320d;XRIVE GRAN TURISMO 2.0 190 SPORT PLUS;320d XRIVE GRAN TURISMO 2.0 190 SPORT PLUS
BMW;320d;XDRIVE GRAN TURISMO 2.0 190 M PLUS;320d XDRIVE GRAN TURISMO 2.0 190 M PLUS
BMW;320d;XDRIVE GRAN TURISMO 2.0 190 LUXURY PLUS;320d XDRIVE GRAN TURISMO 2.0 190 LUXURY PLUS
BMW;320d;XDRIVE GRAN TURISMO 40TH YEAR EDITION;320d XDRIVE GRAN TURISMO 40TH YEAR EDITION
BMW;418i;COUPE 1.5 136 SPORT PLUS;418i COUPE 1.5 136 SPORT PLUS
BMW;418i;COUPE 1.5 136 M PLUS;418i COUPE 1.5 136 M PLUS
BMW;418i;COUPE 1.5 136 LUXURY PLUS;418i COUPE 1.5 136 LUXURY PLUS
BMW;430i;XDRIVE COUPE 2.0 252 SPORT PLUS;430i XDRIVE COUPE 2.0 252 SPORT PLUS
BMW;430i;XDRIVE COUPE 2.0 252 M PLUS;430i XDRIVE COUPE 2.0 252 M PLUS
BMW;430i;XDRIVE COUPE 2.0 252 LUXURY PLUS;430i XDRIVE COUPE 2.0 252 LUXURY PLUS
BMW;418d;COUPE 2.0 150 JOY;418d COUPE 2.0 150 JOY
BMW;418d;COUPE 2.0 150 PRESTIGE;418d COUPE 2.0 150 PRESTIGE
BMW;418d;COUPE 2.0 150 SPORT PLUS;418d COUPE 2.0 150 SPORT PLUS
BMW;418d;COUPE 2.0 150 COUPE;418d COUPE 2.0 150 COUPE
BMW;418d;COUPE 2.0 150 M PLUS;418d COUPE 2.0 150 M PLUS
BMW;420d;XDRIVE COUPE 2.0 190 SPORT PLUS;420d XDRIVE COUPE 2.0 190 SPORT PLUS
BMW;420d;XDRIVE COUPE 2.0 190 M PLUS;420d XDRIVE COUPE 2.0 190 M PLUS
BMW;420d;XDRIVE COUPE 2.0 190 LUXURY PLUS;420d XDRIVE COUPE 2.0 190 LUXURY PLUS
BMW;420d;XDRIVE COUPE 2 0 190 ULTIMTE M SPORT;420d XDRIVE COUPE 2 0 190 ULTIMTE M SPORT
BMW;430i;XDRIVE CABRIO 2.0 252 SPORTLINE;430i XDRIVE CABRIO 2.0 252 SPORTLINE
BMW;430i;XDRIVE CABRIO 2.0 252 LUXURY LINE;430i XDRIVE CABRIO 2.0 252 LUXURY LINE
BMW;430i;XDRIVE CABRIO 2.0 252 M SPORT;430i XDRIVE CABRIO 2.0 252 M SPORT
BMW;418i;GRAN COUPE 1.5 136 M PLUS;418i GRAN COUPE 1.5 136 M PLUS
BMW;418i;GRAN COUPE 1.5 136 LUXURY PLUS;418i GRAN COUPE 1.5 136 LUXURY PLUS
BMW;430i;XDRIVE GRAN COUPE 2.0 252 SPORT PLUS;430i XDRIVE GRAN COUPE 2.0 252 SPORT PLUS
BMW;430i;XDRIVE GRAN COUPE 2.0 252 M PLUS;430i XDRIVE GRAN COUPE 2.0 252 M PLUS
BMW;430i;XDRIVE GRAN COUPE 2.0 252 LUXURY PLUS;430i XDRIVE GRAN COUPE 2.0 252 LUXURY PLUS
BMW;418d;GRAN COUPE 2.0 150 JOY;418d GRAN COUPE 2.0 150 JOY
BMW;418d;GRAN COUPE 2.0 150 PRESTIGE;418d GRAN COUPE 2.0 150 PRESTIGE
BMW;418d;GRAN COUPE 2.0 150 SPORT PLUS;418d GRAN COUPE 2.0 150 SPORT PLUS
BMW;418d;GRAN COUPE 2.0 150 M PLUS;418d GRAN COUPE 2.0 150 M PLUS
BMW;418d;GRAN COUPE 2.0 150 LUXURY PLUS;418d GRAN COUPE 2.0 150 LUXURY PLUS
BMW;418d;GRAN COUPE 2.0 150 ULTIMATE M SPORT;418d GRAN COUPE 2.0 150 ULTIMATE M SPORT
BMW;420d;XDRIVE GRAN COUPE 2.0 190 SPORT PLUS;420d XDRIVE GRAN COUPE 2.0 190 SPORT PLUS
BMW;420d;XDRIVE GRAN COUPE 2.0 190 M PLUS;420d XDRIVE GRAN COUPE 2.0 190 M PLUS
BMW;420d;XDRIVE GRAN COUPE 2.0 190 LUXURY PLUS;420d XDRIVE GRAN COUPE 2.0 190 LUXURY PLUS
BMW;420d;XDRIVE GRAN COUPE 2.0 190 ULTIMATEMSPORT;420d XDRIVE GRAN COUPE 2.0 190 ULTIMATEMSPORT
BMW;530i;SEDAN 2.0 252 EXECUTIVE SPORT;530i SEDAN 2.0 252 EXECUTIVE SPORT
BMW;530i;SEDAN 2.0 252 EXECUTIVE PRESTIGE;530i SEDAN 2.0 252 EXECUTIVE PRESTIGE
BMW;530i;SEDAN 2.0 252 EXECUTIVE LUXURY;530i SEDAN 2.0 252 EXECUTIVE LUXURY
BMW;530i;SEDAN 2.0 252 EXECUTIVE M SPORT;530i SEDAN 2.0 252 EXECUTIVE M SPORT
BMW;530i;XDRIVE SEDAN 2.0 252 EXECUTIVE SPORT;530i XDRIVE SEDAN 2.0 252 EXECUTIVE SPORT
BMW;530i;XDRIVE SEDAN 2.0 252 EXECUTIVE PRESTIGE;530i XDRIVE SEDAN 2.0 252 EXECUTIVE PRESTIGE
BMW;530i;XDRIVE SEDAN 2.0 252 EXECUTIVE LUXURY;530i XDRIVE SEDAN 2.0 252 EXECUTIVE LUXURY
BMW;530i;XDRIVE SEDAN 2.0 252 EXECUTIVE M SPORT;530i XDRIVE SEDAN 2.0 252 EXECUTIVE M SPORT
BMW;520d;SEDAN 2.0 190 SPORT LINE;520d SEDAN 2.0 190 SPORT LINE
BMW;520d;SEDAN 2.0 190 PRESTIGE;520d SEDAN 2.0 190 PRESTIGE
BMW;520d;SEDAN 2.0 190 LUXURY LINE;520d SEDAN 2.0 190 LUXURY LINE
BMW;520d;SEDAN 2.0 190 M SPORT;520d SEDAN 2.0 190 M SPORT
BMW;520d;XDRIVE SEDAN 2.0 190 SPORT LINE;520d XDRIVE SEDAN 2.0 190 SPORT LINE
BMW;520d;XDRIVE SEDAN 2.0 190 PRESTIGE;520d XDRIVE SEDAN 2.0 190 PRESTIGE
BMW;520d;XDRIVE SEDAN 2.0 190 LUXURY LINE;520d XDRIVE SEDAN 2.0 190 LUXURY LINE
BMW;520d;XDRIVE SEDAN 2.0 190 M SPORT;520d XDRIVE SEDAN 2.0 190 M SPORT
BMW;730i;2.0 258 PURE EXCELLENCE;730i 2.0 258 PURE EXCELLENCE
BMW;730i;2.0 258 M EXCELLENCE;730i 2.0 258 M EXCELLENCE
BMW;725d;2.0 231 PURE EXCELLENCE;725d 2.0 231 PURE EXCELLENCE
BMW;725d;2.0 231 M SPORT;725d 2.0 231 M SPORT
BMW;725d;2.0 231 M EXCELLENCE;725d 2.0 231 M EXCELLENCE
BMW;730d;XDRIVE 3.0 265 PURE EXCELLENCE;730d XDRIVE 3.0 265 PURE EXCELLENCE
BMW;730d;XDRIVE 3.0 265 M EXCELLENCE;730d XDRIVE 3.0 265 M EXCELLENCE
BMW;730Li;2.0 258 M SPORT;730Li 2.0 258 M SPORT
BMW;730Li;2.0 258 PURE EXCELLENCE;730Li 2.0 258 PURE EXCELLENCE
BMW;730Li;2.0 258 M EXCELLENCE;730Li 2.0 258 M EXCELLENCE
BMW;740Le;XDRIVE iPERFORMANCE M SPORT;740Le XDRIVE iPERFORMANCE M SPORT
BMW;740Le;XDRIVE iPERFORMANCE 2.0 326 PURE EXCELL;740Le XDRIVE iPERFORMANCE 2.0 326 PURE EXCELL
BMW;740Le;XDRIVE iPERFORMANCE M EXCELLENCE;740Le XDRIVE iPERFORMANCE M EXCELLENCE
BMW;725Ld;2.0 231 M SPORT;725Ld 2.0 231 M SPORT
BMW;725Ld;2.0 231 PURE EXCELLENCE;725Ld 2.0 231 PURE EXCELLENCE
BMW;725Ld;2.0 231 M EXCELLENCE;725Ld 2.0 231 M EXCELLENCE
BMW;730Ld;XDRIVE 3.0 265 M SPORT;730Ld XDRIVE 3.0 265 M SPORT
BMW;730Ld;XDRIVE 3.0 265 PURE EXCELLENCE;730Ld XDRIVE 3.0 265 PURE EXCELLENCE
BMW;730Ld;XDRIVE 3.0 265 M EXCELLENCE;730Ld XDRIVE 3.0 265 M EXCELLENCE
BMW;750Ld; XDRIVE 3.0 400 M SPORT;750Ld  XDRIVE 3.0 400 M SPORT
BMW;750Ld;XDRIVE 3.0 400 PURE EXCELLENCE;750Ld XDRIVE 3.0 400 PURE EXCELLENCE
BMW;750Ld;XDRIVE 3.0 400 M EXCELLENCE;750Ld XDRIVE 3.0 400 M EXCELLENCE
BMW;X5;XDRIVE40e  313 iPERFORMANCE M PLUS;X5 XDRIVE40e  313 iPERFORMANCE M PLUS
BMW;X5;XDRIVE25d  231 M PLUS;X5 XDRIVE25d  231 M PLUS
BMW;X6;XDRIVE40d 3.0 313 PRESTIGE PLUS;X6 XDRIVE40d 3.0 313 PRESTIGE PLUS
BMW;X6;XDRIVE40d 3.0 313 M PLUS;X6 XDRIVE40d 3.0 313 M PLUS
BMW;i3;94AH PURE;i3 94AH PURE
BMW;i3;94AH PREMIUM TECHNO;i3 94AH PREMIUM TECHNO
BMW;X5;M50d 3.0 381;X5 M50d 3.0 381
BMW;320i;ED (170) SEDAN MODERN LINE;320i ED (170) SEDAN MODERN LINE
BMW;418d;COUPE 2.0 150 ULTIMATE M SPORT;418d COUPE 2.0 150 ULTIMATE M SPORT
BMW;320d;SEDAN 2.0 190 JOY;320d SEDAN 2.0 190 JOY
BMW;320d;XDRIVE SEDAN 2.0 190 JOY;320d XDRIVE SEDAN 2.0 190 JOY
BMW;320d;XDRIVE SEDAN 2.0 190 40TH YEAR EDITION;320d XDRIVE SEDAN 2.0 190 40TH YEAR EDITION
BMW;430i;XDRIVE COUPE 2.0 252 ULTIMATE M SPORT;430i XDRIVE COUPE 2.0 252 ULTIMATE M SPORT
BMW;430i;XDRIVE CABRIO 2.0 252 SPORT PLUS;430i XDRIVE CABRIO 2.0 252 SPORT PLUS
BMW;430i;XDRIVE CABRIO 2.0 252 LUXURY PLUS;430i XDRIVE CABRIO 2.0 252 LUXURY PLUS
BMW;430i;XDRIVE CABRIO 2.0 252 M PLUS;430i XDRIVE CABRIO 2.0 252 M PLUS
BMW;430i;XDRIVE CABRIO 2.0 252 ULTIMATE M SPORT;430i XDRIVE CABRIO 2.0 252 ULTIMATE M SPORT
BMW;420d;CABRIO 2.0 190 SPORT PLUS;420d CABRIO 2.0 190 SPORT PLUS
BMW;420d;CABRIO 2.0 190 LUXURY LINE;420d CABRIO 2.0 190 LUXURY LINE
